,titulo_1,titulo_2,url_1,url_2
19,Reembalado: Smartphone Samsung Galaxy A20 A205G 32GB 3GB ram Vermelho - Excelente,"Smartphone Samsung Galaxy A20 32GB Dual Chip Android 9.0 Tela 6.4"" Octa-Core 4G Câmera Dupla 13MP + 5MP - Vermelho",https://www.americanas.com.br/produto/2653288654,https://www.americanas.com.br/produto/134254081
186,Smartphone tcl L10 lite Cinza Titânio Tela 6.22 Dual 4G 32GB + 2GB Ram Octa-Core Câmera Dupla + Capa e Película Originais,"TCL, Smartphone L10 Lite Cinza Titânio Tela 6.22"" Dual 4g 32gb + 2gb Ram Octa-core + Capa e Película",https://www.americanas.com.br/produto/3386142570,https://www.amazon.com.br/Smartphone-Cinza-Tit%C3%A2nio-Octa-core-Pel%C3%ADcula/dp/B09D15C39B/ref=sr_1_1551?qid=1651784127&s=wireless&sr=1-1551
278,Smartphone GMax 2 P9157 Tela 6.5 64GB 2GB ram Multilaser,"Smartphone Multilaser G Max 2 64Gb 4G Tela 6,5 Dourado",https://www.americanas.com.br/produto/4782017527,https://www.americanas.com.br/produto/5199428222
252,Smartphone multilaser E pro dourado 32GB tela 5 1GBRAM,Smartphone Multilaser E Pro 32GB 4G wi-fi Dourado Tela 5.0 Dual Chip 1GB ram Câmera 5MP + Selfie 5MP Android 11 Go - P9151,https://www.americanas.com.br/produto/5133655351,https://www.americanas.com.br/produto/4888023159
1,"Telefone robusto DOOGEE S40 PRO [4 GB de RAM 64 GB de ROM], smartphone externo desbloqueado Android 10 IP68, tela de vidro Gorilla de 5,45"", câmera tripla de 13 MP, SIM duplo (Exército verde)",Smartphone doogee S40 pro 64GB CÂM.13MP 4GB ram preto,https://www.amazon.com.br/Telefone-robusto-smartphone-desbloqueado-Ex%C3%A9rcito/dp/B09BTB8PG6/ref=sr_1_969?qid=1651784093&s=wireless&sr=1-969&ufe=app_do%3Aamzn1.fos.95de73c3-5dda-43a7-bd1f-63af03b14751,https://www.americanas.com.br/produto/4969626955
114,"Smartphone Motorola Edge 20 128GB 5G Wi-Fi Tela 6,7'' Dual Chip 8GB RAM Câmera Tripla + Selfie 32MP - Branco",Smartphone Motorola Edge 20 128GB 8GB RAM Branco,https://www.americanas.com.br/produto/3616585721,https://www.amazon.com.br/Smartphone-Motorola-Edge-128GB-Branco/dp/B09HVYYJMT/ref=sr_1_404?qid=1651784058&s=wireless&sr=1-404
86,Smartphone Samsung Galaxy A13 4G 128GB 6.6 QuadCâm 50 + 5 + 2 + 2MP Branco,"Smartphone Samsung Galaxy A13, 128GB, 4GB ram, Dual Chip, Tela de 6.6",https://www.americanas.com.br/produto/5023409482,https://www.americanas.com.br/produto/4878086800
34,"Smartphone Samsung Galaxy S21+ 256GB 5G - Preto, Câmera Tripla 64MP + Selfie 10MP, RAM 8GB, Tela 6.7""",Smartphone Samsung Galaxy S21 + Preto 256GB 6.7 64MP Dual Chip,https://www.amazon.com.br/Smartphone-Samsung-Galaxy-S21-256GB/dp/B09M94FXNM/ref=sr_1_31?qid=1651784038&s=wireless&sr=1-31&ufe=app_do%3Aamzn1.fos.95de73c3-5dda-43a7-bd1f-63af03b14751,https://www.americanas.com.br/produto/4956235331
42,Smartphone Samsung Galaxy A02 32GB 4G Wi-Fi Tela 6.5'' Dual Chip 2GB RAM Câmera Dupla + Selfie 5MP - Preto,Smartphone Samsung Galaxy A02 A022 32GB,https://www.americanas.com.br/produto/2891924281,https://www.americanas.com.br/produto/4460735235
73,Smartphone Samsung Galaxy S22 Ultra 256gb 5g Com Caneta S Pen Preto Câmera Tripla Ram 8gb Tela 6.8,"Smartphone Samsung Galaxy S22 Ultra 256GB 5G com caneta S pen - Preto, Câmera Tripla 108MP + Selfie 40MP, ram 8GB, Tela 6.8",https://www.americanas.com.br/produto/5059340755,https://www.americanas.com.br/produto/4987076504
