,titulo_1,titulo_2,url_1,url_2
160,Fogao itatiaia vitrum digital 5B,Fogão De Mesa Vidro 5 Bocas Com Timer Itatiaia Preto Bivolt,https://www.americanas.com.br/produto/5163749770,https://www.americanas.com.br/produto/5016273003
684,Fogao A gas delplus vitreo 5 Q preto fosco gas glp,Fogao A gas delplus vitreo 5 Q preto fosco gás glp,https://www.americanas.com.br/produto/43409338,https://www.americanas.com.br/produto/2108129236
70,Fogão de Piso 4 Bocas à Gás Itatiaia Dream com Acendimento Automático Preto Bivolt,Fogão 4 Bocas Itatiaia Dream Preto Bivolt,https://www.americanas.com.br/produto/76536617,https://www.americanas.com.br/produto/119725957
704,Fogao A gas gaudi 4 Q preto fosco gas glp,Fogao A gas gaudi 4 Q preto fosco gás glp,https://www.americanas.com.br/produto/28002907,https://www.americanas.com.br/produto/1579792616
94,Fogão 4 Bocas Itatiaia Star Preto Bivolt,Fogão Star 4 Bocas Preto Com Acendimento Automático,https://www.americanas.com.br/produto/1435594451,https://www.americanas.com.br/produto/1957490974
690,Fogao a Gas Picasso Vitreo 5 Q Branco Gas Glp,Fogao A Gas Picasso Vitreo 5 Q Branco Gás Glp,https://www.americanas.com.br/produto/43423873,https://www.americanas.com.br/produto/2106066139
419,Fogão Mônaco Plus 4Bocas Bivolt Titanium Cinza - Atlas,Fogão Atlas Mônaco Plus 4 Bocas com Acendimento Automático Preto,https://www.americanas.com.br/produto/3117602689,https://www.americanas.com.br/produto/4972926246
823,Fogão 5 Bocas Mueller Piacere cor Inox com mesa em inox e queimador central ultra chama Bivolt,Fogão 5 Bocas Piacere Bivolt Inox - Mueller,https://www.americanas.com.br/produto/4606578561,https://www.americanas.com.br/produto/1720679808
785,Fogao 4b Mueller Moderatto S/acend - 601230018,Fogão Mueller 4Q Grade de Aço Acendimento Manual,https://www.americanas.com.br/produto/3824953613,https://www.americanas.com.br/produto/5092711503
34,Fogão Consul 4 Bocas Preto CFO4VAE com Mesa de Vidro e Grades Individuais de Ferro Fundido - Bivolt,Fogão 4 Bocas Mesa Vidro Cfo4vaeuna Consul Preto Bivolt,https://www.americanas.com.br/produto/4184248675,https://www.americanas.com.br/produto/4918757939
502,Fogão Atlas 5 Bocas New u.top com Tripla Chama Preto Bivolt,Fogão 5 Bocas Atlas New u.top Acendimento Automático,https://www.americanas.com.br/produto/4801453085,https://www.americanas.com.br/produto/4084742191
17,Fogao 5b Brastemp Acend. Automatico - Bfs5ncruna,Fogão Brastemp 5 Bocas Cor Inox Com Botões Removíveis E Exclusivo Aro Protetor - BFS5NCR BIVOLT,https://www.americanas.com.br/produto/5092349241,https://www.amazon.com.br/Fog%C3%A3o-Brastemp-Bocas-BFS5NCR-Bivolt/dp/B07FTLJ99J
507,Fogão 5 Bocas Dako Magister Style com Frente de Vidro Espelhado,Fogão Dako Magister Style 5 Bocas Com Frente Em Vidro Espelhado E Mesa de Vidro,https://www.americanas.com.br/produto/5197740722,https://www.americanas.com.br/produto/5176231890
184,Fogão de Piso Itatiaia Vitrum 5 Bocas Mesa de Vidro com Timer Digital,Fogão 5 Bocas Automático Tripla Chama Bivolt Vitrum Timer Digital Itatiaia Preto,https://www.americanas.com.br/produto/4432002296,https://www.americanas.com.br/produto/4913116745
610,Fogão 2 Bocas Com Forno Gemini Venax - Azul,Fogao A gas gemini 2 Q vetro azul gás glp,https://www.americanas.com.br/produto/2881279080,https://www.americanas.com.br/produto/115150931
799,Fogão 5 Bocas Moderatto Mueller Preto Fosco,Fogao 5B mueller moderatto s/acend - 601230019,https://www.amazon.com.br/Fog%C3%A3o-Bocas-Moderatto-Mueller-Preto/dp/B07YN9S7HT,https://www.americanas.com.br/produto/4409285865
22,Fogão Brastemp BFS6N 6 Bocas com Botões Removíveis e Exclusivo Aro Protetor Branco - Bivolt,Fogão 6 Bocas com Acendimento Automático BFS6NCB Brastemp,https://www.americanas.com.br/produto/133666586,https://www.americanas.com.br/produto/3735435718
75,Fogão de Piso Itatiaia 5 Bocas Dream Preto – Bivolt,Fogão Itatiaia Dream 5 Bocas Preto Tripla Chama Bivolt,https://www.americanas.com.br/produto/3926935301,https://www.americanas.com.br/produto/4820514306
564,Fogão de Piso 4 Bocas Braslar Sirius Plus,Fogão Braslar Sirius plus 4 Bocas Acendimento Automático Total,https://www.americanas.com.br/produto/1943546834,https://www.americanas.com.br/produto/4075500923
682,Fogão A Gás glp Venax Palladio Vítreo 4 Bocas Branco,Fogao A gas palladio vitreo 4 Q branco gás glp,https://www.americanas.com.br/produto/103865064,https://www.americanas.com.br/produto/4018709667
619,Fogão Esmaltec Diamante com 4 Bocas Acendimento é Automático,Fogão Esmaltec Diamante Com 4 Bocas Inox 110v,https://www.americanas.com.br/produto/2903968522,https://www.americanas.com.br/produto/4883020637
550,Fogão de Piso Mueller 4 Bocas Moderatto G5 - 601186001,Fogão a Gás 4 Bocas Moderatto 601186001 Branco - Mueller,https://www.americanas.com.br/produto/4424458373,https://www.amazon.com.br/Fog%C3%A3o-Bocas-Moderatto-601186001-Branco/dp/B076B9BJXW
763,Fogão 5 Bocas Fratello Vetro com Mesa de Vidro Mueller,Fogão Mueller 5 Bocas Fratello Vetro Branco Bivolt,https://www.americanas.com.br/produto/4378707948,https://www.amazon.com.br/Fog%C3%A3o-Mueller-Fratello-Branco-Bivolt/dp/B07Y5WQLDT
240,Fogão Itatiaia A Gás 5 Bocas Itaglass Acend Auto Pto Bivolt,"Fogão Itaglass 5 Bocas Preto com Queimador Tripla Chama, Forno Limpa Fácil - Itatiaia Unica",https://www.americanas.com.br/produto/4432003660,https://www.amazon.com.br/Fog%C3%A3o-Itaglass-Bocas-Queimador-Tripla/dp/B088DFDY6G
224,Fogão Itatiaia 4 Bocas Itaglass Acendimento Automático - Preto,Fogão a Gás de Piso Itaglass 4 Bocas Preto 4Q - Bivolt,https://www.americanas.com.br/produto/2563895186,https://www.americanas.com.br/produto/4233032257
647,Fogão a Gás de Piso 5 Bocas Esmaltec Agata Glass,Fogão Agata Glass Piso 5 Bocas Preto Esmaltec Bivolt 0104002095,https://www.americanas.com.br/produto/3735467058,https://www.americanas.com.br/produto/4914217020
367,Fogão Mônaco Top Glass 4 bocas Acendimento Automático Atlas,Fogão De Piso Atlas 4 Bocas Monaco Acendimento Automático Top Glass Branco Bvolt,https://www.americanas.com.br/produto/5154898415,https://www.americanas.com.br/produto/4883004098
481,Fogão De Piso Atlas 5 Bocas Agile Up Glass Preto Bivolt,Fogão Atlas Agile Up Glass 5 Bocas Preto - Bivolt,https://www.americanas.com.br/produto/4898908284,https://www.americanas.com.br/produto/2791826633
894,Fogão Electrolux 5 Bocas 76LBU Branco Automático Com Ultra Chama E Painel Completo,Fogão de Piso 5 Bocas Electrolux 76LBU Branco Bivolt,https://www.americanas.com.br/produto/4564522314,https://www.americanas.com.br/produto/5015857007
