,titulo_1,titulo_2,url_1,url_2
238,Geladeira Frost Free Branco 370 Litros (TC41),Refrigerador 370 Litros Continental 2 Portas Frost Free TC41,https://www.americanas.com.br/produto/3354483450,https://www.americanas.com.br/produto/4734549844
82,Geladeira Brastemp BRM44HK Frost Free Duplex 375L com Compartimento Extrafrio Fresh Zone Inox - 110V,Geladeira Brastemp BRM44HK Frost Free Duplex 375 Litros,https://www.americanas.com.br/produto/133605724,https://www.americanas.com.br/produto/5079286813
251,Geladeira/Refrigerador Samsung French Door RF23R6301SR Inox Look 530L Smart (Wi-Fi) com Food Showcase,Refrigerador French Door Samsung de 03 Portas Frost Free com 530 Litros e Twin Cooling Plus Inox - RF23R6301SR,https://www.americanas.com.br/produto/1734947674,https://www.americanas.com.br/produto/3282011874
61,Geladeira Consul Frost Free Duplex 386 litros Branca com Prateleira Dobrável - CRM43NB 110V,Geladeira/Refrigerador Consul 386 Litros 2 Portas Frost Free Classe A CRM43,https://www.amazon.com.br/Geladeira-Consul-Duplex-Prateleira-Dobr%C3%A1vel/dp/B076B9V5WK,https://www.americanas.com.br/produto/4734543434
23,"Refrigerador Side By Side Lg 601l Painel Touch, Dispenser, New Lancaster Gs65sdn 127v",Refrigerador LG Side By Side New Lancaster 601L Door In Door Aço Escovado 110V GS65SDN,https://www.americanas.com.br/produto/4532576131,https://www.amazon.com.br/Refrigerador-LG-Lancaster-Escovado-GS65SDN/dp/B07B5166WN
67,Geladeira Brastemp Frost Free 462 litros - BRM56 Branco - 110V,Geladeira Brastemp Frost Free Duplex 462 litros Branca com Turbo Control - BRM56AB 110V,https://www.americanas.com.br/produto/132717302,https://www.amazon.com.br/Geladeira-Brastemp-Duplex-litros-Control/dp/B079ZGWT3F
220,Geladeira Midea 480 Litros MD-RT507FGA04 Frost Free Aço,Refrigerador Midea Top Mount Freezer 480L 127V,https://www.americanas.com.br/produto/5163412659,https://www.americanas.com.br/produto/2522755056
213,Mini geladeira 10L (110V/12V) cabo ac/dc branca - TV015,Mini Geladeira 10L Branca Painel Led Trivolt com Cabo ac/dc Multilaser - TV015,https://www.americanas.com.br/produto/5174976581,https://www.americanas.com.br/produto/3461705951
54,Refrigerador Consul CRM43H Frost Free Evox 386L,Geladeira / Refrigerador Consul Duplex 2 Portas Frost Free CRM43HK 386 Litros - Platinum,https://www.americanas.com.br/produto/4305783376,https://www.americanas.com.br/produto/124291903
101,Refrigerador/Geladeira Brastemp 400L Frost Free Duplex,Geladeira Brastemp 400L Frost Free com Painel Touch BRM54HBANA Branca,https://www.americanas.com.br/produto/2447900478,https://www.americanas.com.br/produto/5163498966
183,Geladeira/Refrigerador Inverter Top Freezer 431L Platinum (IF55S) 127V,Geladeira/Refrigerador Electrolux Duplex IF55S Frost Free Inverter Top Freezer 431L Platinum - 110v,https://www.amazon.com.br/Geladeira-Refrigerador-Electrolux-Inverter-Platinum/dp/B07QHDR9X1,https://www.americanas.com.br/produto/1210745852
224,Refrigerador French Door Inverter Quattro 482L Midea,Refrigerador Midea French Door Inverter Quattro 482 Litros Inox MD-RF556 – 127 Volts,https://www.americanas.com.br/produto/2507227327,https://www.americanas.com.br/produto/2487660026
109,Refrigerador Consul Domest 397L 2 Portas Frost Free Evox 127V CRE44AK,Geladeira Consul Frost Free Duplex CRE44AK Evox 397L - Consul,https://www.americanas.com.br/produto/5188853223,https://www.americanas.com.br/produto/5153891545
265,Geladeira/Refrigerador Smart Bottom Freezer ThinQ 451 Litros LG GC-B659BSB1 Aço Escovado 220V,Refrigerador / Geladeira LG Bottom Freezer Universe Refresh 451L,https://www.americanas.com.br/produto/4955349361,https://www.americanas.com.br/produto/5017788826
53,Refrigerador Consul 386l Frost Free Classe A Crm43 Platinum 110v,Geladeira / Refrigerador Consul Duplex 2 Portas Frost Free CRM43HK 386 Litros - Platinum,https://www.americanas.com.br/produto/4883004936,https://www.americanas.com.br/produto/124291903
