,titulo_1,titulo_2,url_1,url_2
231,"Notebook Positivo 2 Em 1 Tablet Tela 11,6 Hd 64gb C464ap",Notebook Positivo 11.6 2 em 1 Intel 2.4GHz 4GB DDR4 64GB SSD Windows 10 PRO,https://www.americanas.com.br/produto/4781163207,https://www.amazon.com.br/Notebook-Positivo-Intel-2-4GHz-Windows/dp/B09C6N3LHL
88,Notebook Acer A315 Intel Celeron N4000 Memoria 4gb Ssd 240GBTela 15.6' Hd Windows 10 Home,Notebook Acer Aspire Intel 2.6Ghz 4Gb 500Gb Hd Windows 15.6,https://www.americanas.com.br/produto/4201441671,https://www.americanas.com.br/produto/3111546436
50,Notebook Lenovo Ideapad 3i 15.6 HD Intel Celeron ssd 128GB 4GB Windows 11 Home Prata - 82BU0006BR,Notebook IdeaPad 128 gb 4 gb com ssd Lenovo,https://www.americanas.com.br/produto/4777776051,https://www.americanas.com.br/produto/4831407055
263,Notebook Positivo Motion Q464C Intel Atom Z8350 4GB eMMC 64GB W10 14.1'' - Vermelho,"Notebook Positivo Motion Gray Q464C Intel Atom Quad Core 4GB 64GB 14,1'' LED Webcam HD Windows 10 Home - Cinza",https://www.americanas.com.br/produto/2831155071,https://www.americanas.com.br/produto/2893617681
295,Notebook i3 4GB ssd 120GB Tela full HD 15.6 Wifi Bluetooh WebCam,"Notebook i3 4GB SSD 120GB Tela FULL HD 15.6"" Wifi BT4 C/WebCam",https://www.americanas.com.br/produto/2203637298,https://www.amazon.com.br/Notebook-120GB-Tela-FULL-WebCam/dp/B08KRZF7BC
34,Notebook Gamer 82CGS00100 Core i5 8GB 256GB ssd GeForce gtx 1650 4GB Tela 15.6 Linux 3i-15IMH 10300H Lenovo,"Notebook Ideapad Gaming 3i Intel Core i5-10300H 8GB (Geforce GTX 1650 4GB) 256GB SSD FHD Linux 15.6"" Azul",https://www.americanas.com.br/produto/3699433802,https://www.americanas.com.br/produto/3192783088
186,Notebook Samsung Galaxy Book GO Sdragon 7c Octa-core 4GB 128GB SSD eUFS Windows 10,"Notebook 14 Galaxy Book Go Snapdragon 7c, 4GB, SSD128GB, Windows 10 Prata NP340XLA-K02BR samsung",https://www.amazon.com.br/Notebook-Samsung-Sdragon-Octa-core-Windows/dp/B09H7GRR4D,https://www.americanas.com.br/produto/4049432955
347,Notebook Dell Inspiron 15 3000 a0500-UM10P 15.6 fhd amd Ryzen 5 8GB 256GB ssd Linux Preto,"Notebook Dell Inspiron 15 a0500-UM10P 15.6"" FHD AMD Ryzen™ 5 8GB 256GB SSD Linux Preto",https://www.americanas.com.br/produto/4101717799,https://www.amazon.com.br/Notebook-Dell-Inspiron-a0500-UM10P-RyzenTM/dp/B09J1J7SPD
370,"Notebook Multilaser Legacy Cloud, W10 Home Processador Intel Quadcore Memoria 2GB 64GB Tela 14,1 Pol. Cinza Multilaser – PC134",Notebook legacy cloud 2GB ram/tela 14PO,https://www.amazon.com.br/Notebook-Multilaser-Legacy-Cloud-Cinza/dp/B091Q7RZ3Y,https://www.americanas.com.br/produto/3628346103
260,NTB POSITIVO MOTION RED Q464C,"Notebook Positivo Motion Gray Q464C Intel Atom Quad Core 4GB 64GB 14,1'' LED Webcam HD Windows 10 Home - Cinza",https://www.amazon.com.br/NTB-POSITIVO-MOTION-RED-Q464C/dp/B08SMMLL5Z,https://www.americanas.com.br/produto/2893617681
154,Notebook asus rog Zephyrus G14 GA401IV-HE251T Ryzen 9 4900HS 16GB 1TB ssd RTX2060 W10 14'' Cinza,Notebook ASUS ROG Zephyrus G14 GA401IV-HE251T Cinza,https://www.americanas.com.br/produto/2500325240,https://www.amazon.com.br/Notebook-ASUS-Zephyrus-GA401IV-HE251T-Cinza/dp/B09CBD5NFC
358,Kit Notebook Dell Inspiron i15-i1100-M10PC 15.6 Full HD Intel Pentium Gold 4GB 128GB ssd Windows 11 Preto com Capa,"Kit Notebook Dell Inspiron i15-i1100-M10PC 15.6"" Full HD Intel Pentium Gold 4GB 128GB SSD Windows 11 Preto com Capa",https://www.americanas.com.br/produto/4825106951,https://www.amazon.com.br/Notebook-Dell-Inspiron-i15-i1100-M10PC-Pentium/dp/B09V8G3M3W
267,Notebook 2 Em 1 Positivo Duo Intel Celeron Dual Core C464D,Notebook 2 em 1 Positivo duo C464D Intel Celeron Dual Core Windows 11 Home 11 - Cinza,https://www.americanas.com.br/produto/5086551048,https://www.americanas.com.br/produto/4382566762
92,"Notebook Acer A315-34-C6ZS Intel Celeron N4000 4gb 1tb 15,6"" Linux",Notebook Acer Aspire 3 Intel Celeron 4GB 1TB Endless,https://www.americanas.com.br/produto/1871867291,https://www.americanas.com.br/produto/4871631019
25,"Notebook Lenovo IdeaPad 3i, Intel Core i3-10110U, 4GB RAM, 256 GB SSD, Windows 10, 15.6"", Prata",Notebook IdeaPad 82BS0006BR Intel Core i3-10110U 4GB ram 256GB ssd Tela 15.6 Windows 10 Lenovo,https://www.amazon.com.br/Notebook-Lenovo-IdeaPad-i3-10110U-Windows/dp/B094DM6SKF,https://www.americanas.com.br/produto/4147204112
162,"Notebook Samsung Book Intel Core I5 1135G7 - Iris Xe, Windows 10 Home 256GB ssd, 8GB ram, Tela 15.6 Iintel iris xe - Cinza Chumbo","Notebook Samsung Core I5-1135G7, 11 Geração, 8GB 256GB SSD 15,6 Book Win10 Cinza",https://www.americanas.com.br/produto/4183094512,https://www.amazon.com.br/Notebook-Samsung-I5-1135G7-Gera%C3%A7%C3%A3o-256GB/dp/B094275GVJ
261,Notebook Positivo Motion Q464C Intel Atom Quad-Core Windows 10 Home – Vermelho,Notebook Positivo Motion Q464C Intel Atom Z8350 4GB eMMC 64GB W10 14.1'' - Vermelho,https://www.americanas.com.br/produto/3775147972,https://www.americanas.com.br/produto/2831155071
171,"SAMSUNG Notebook Book Intel® Core i7-1165G7, 8GB, 256 GB SSD, Intel® Iris® Xe, 15.6'' Full HD LED, NP550XDA-KS1BR Prata, Cinza",Notebook Samsung Book i7 8GB 256GB ssd Intel Iris Xe 15.6 fhd LED,https://www.amazon.com.br/Notebook-Samsung-Intel%C2%AE-i7-1165G7-NP550XDA-KS1BR/dp/B093N3DQ4G,https://www.americanas.com.br/produto/3735422546
196,Notebook Intel Core i3-1115G4 Windows 10 ram 4GB 1TB Tela 15.6 NP550XDA-KV2BR Samsung,"SAMSUNG Notebook Intel Core i3-1115G4 4GB 1TB W11 15,6"" NP550XDA-KV2BR - Branco",https://www.americanas.com.br/produto/4856318180,https://www.amazon.com.br/SAMSUNG-Notebook-Intel-i3-1115G4-NP550XDA-KV2BR/dp/B09RTGS1QY
200,Notebook Positivo Motion C4128ei Celeron Dual-core N3350 Memoria 4gb Ddr4 Hd 1tb Tela 14 Hd Led Linux,Notebook Positivo C4128ei Celeron N3350 4gb Ddr4 Ssd 128gb Tela 14 Hd Led Windows 10 Pro,https://www.americanas.com.br/produto/4201876148,https://www.americanas.com.br/produto/4206884753
331,Notebook dell inspiron I15-3501-A25P core i3,"Notebook Dell Inspiron I15-3501-A25P Intel Core I3-1005G1 4GB 256GB SSD W10 15.6"" - Preto",https://www.americanas.com.br/produto/4100051104,https://www.americanas.com.br/produto/2969521205
143,Notebook Acer A314-35-C4CZ Celeron N4500 4GB 256GB ssd 14FHD,Notebook Acer A314-35-c4cz Intel Celeron N4500 4gb SSD 256gb 14 Full HD Windows 10 Home Prata,https://www.americanas.com.br/produto/4824283891,https://www.amazon.com.br/Notebook-A314-35-c4cz-Intel-Celeron-Windows/dp/B09KJCTLSR
64,"Notebook Lenovo Ultrafino IdeaPad 3i i7 8GB 256 GB SSD Placa de Vídeo Dedicada W11 15.6"" 82BS000MBR, Prata",Notebook Lenovo IdeaPad 3i i7 8GB 256gb Ssd 15.6 W11 Prata,https://www.amazon.com.br/Notebook-Lenovo-Ultrafino-Dedicada-82BS000MBR/dp/B09M8Z4QM6,https://www.americanas.com.br/produto/5092603879
239,"Notebook Positivo Motion Gray C41TE Tela 14,1 Polegadas, Intel Celeron, 4GB, 1TB HD",Notebook Positivo Motion C41TE Celeron 4GB 1TB HD Windows 10 Home – Cinza,https://www.americanas.com.br/produto/3714956143,https://www.americanas.com.br/produto/2961662100
144,"Notebook A315-56-356Y Intel Core i3 4GB ram Tela 15,6 256GB ssd W10 Acer","ACER Notebook Aspire 3 A315 56 356Y Intel Core i3 10ª Gen Windows 10 Home 4GB 256GB SSD 15,6' FHD, grey",https://www.americanas.com.br/produto/4348361405,https://www.amazon.com.br/ACER-Notebook-Aspire-Intel-Windows/dp/B09K2QRDPG
