,titulo_1,titulo_2,url_1,url_2
308,Tela toshiba 32 pol. 32V35KB dled HD smart vidaa - TB007,Tela Toshiba 32 Pol. 32v35kb Dled Hd Smart Vidaa - TB007,https://www.americanas.com.br/produto/5164562616,https://www.americanas.com.br/produto/4515038956
117,Smart Tv 55 Polegadas Led LH55BETHVGGXZD uhd 4K Bluetooth hdr Wifi Samsung,SAMSUNG TV Smart 55 BEAHVGGXZD,https://www.americanas.com.br/produto/4800213661,https://www.amazon.com.br/Smart-Samsung-Crystal-processor-Bluetooth/dp/B094DN2HC5
177,"Smart TV oled 55 LG OLED55A1PSA, 4K, Wi-Fi, Bluetooth, com 2 usb, 3 hdmi, 60Hz","Smart TV LG OLED 55"" 4K OLED55A1 Dolby Vision IQ Dolby Atmos Inteligência Artificial Thinqai Google Alexa",https://www.americanas.com.br/produto/4880314074,https://www.americanas.com.br/produto/3397039498
54,Smart TV LED 32'' HD Samsung LH32BETBLGGXZD,"Samsung Smart TV 32"" LH32BETBLGGXZD LED 2 HDMI 1 USB",https://www.amazon.com.br/Smart-TV-LED-Samsung-LH32BETBLGGXZD/dp/B0899BRB4B,https://www.americanas.com.br/produto/1943745999
5,"Smart TV, PTV39G60S LED, 39'' Polegadas, Processador Quad Core GPU Triple Core HDR, Conexão Wi-fi, Com 2 entradas HDMI 1 USB, Philco","Smart TV Philco PTV39G60S 39, lcd, led, hd, hdmi, Netlix",https://www.amazon.com.br/Smart-Philco-PTV39G60S-LED-integrado/dp/B089VHKWZ6,https://www.americanas.com.br/produto/5141190961
255,Smart TV tcl LED 55 4K uhd Wi-Fi Google Android TV Comando de Voz 55P725,GOOGLE TV LED 55” TCL P725 4K UHD,https://www.americanas.com.br/produto/4478580260,https://www.amazon.com.br/GOOGLE-LED-TCL-P725-UHD/dp/B09NMDGV3W
139,"Smart TV LED 32"" HD LG 32LM621CBSB.A, 3 HDMI, 2 USB, Bluetooth, Wi-Fi, Active HDR, ThinQ AI","Lg Smart Tv Pro Ai 32"" 32lm621cbsb.awz",https://www.amazon.com.br/Smart-LG-Bluetooth-Active-32LM621CBSB/dp/B07WBV8CCJ,https://www.americanas.com.br/produto/1328314222
318,Tela Smart Toshiba 43 dled Full HD hdmi USB Bluetooth Wi-fi Bivolt,Tela toshiba 43 pol. 43V35KB dled fhd smart vidaa - TB008,https://www.americanas.com.br/produto/4796777615,https://www.americanas.com.br/produto/4930533778
226,Smart tv philips 70 uhd led 4k 70pug7406/78,"PHILIPS Android TV 70"" 4K 70PUG7406/78, Google Assistant Built-in, Comando de Voz, Dolby Vision/Atmos, VRR/ALLM, Bluetooth 5.0",https://www.americanas.com.br/produto/4914313741,https://www.amazon.com.br/Philips-70PUG7406-78-Assistant-Bluetooth/dp/B09JQKPVRC
277,Tela 39“ com conversor digital - TL028,TV 39 Polegadas HD TL028 Multilaser,https://www.amazon.com.br/Tela-39-com-conversor-digital/dp/B08X226LVC,https://www.americanas.com.br/produto/4837838420
215,Monitor TV LED 27 brazilpc H270-T hoe preto,Monitor Tv Led 27 Brazilpc H270-T Hoe Preto,https://www.americanas.com.br/produto/5028011191,https://www.americanas.com.br/produto/3309177251
263,"Android TV 43"" TCL S615 FULL HD HDR",Smart TV tcl LED 43 Polegadas Full HD Android hdr Comando de Voz 43S615,https://www.amazon.com.br/Android-TCL-S615-FULL-HDR/dp/B09MJQ6JF3,https://www.americanas.com.br/produto/5019951893
162,Smart Tv Lg 55 4k Nanocell 55nano80 4x Hdmi 2.0 Inteligência Artificial Thinqai Smart Magic,LG TV Nanocell 4k 55 Smart uhd 55NANO80SPA,https://www.americanas.com.br/produto/4295927831,https://www.americanas.com.br/produto/4651284027
126,"Smart TV 50"" QLED 4K Samsung 50Q80A, Modo Game, Processador IA, Som em Movimento, Tela sem limites, Visual livre de cabos, Alexa built in","Samsung Smart TV 50"" QLED 4K 50Q80A, Modo Game, Processador Ia, Som Em Movimento Lite",https://www.amazon.com.br/Samsung-50Q80A-Processador-Movimento-limites/dp/B09R9VRKSY,https://www.americanas.com.br/produto/3800426843
