descricao_1,ean_1,titulo_1,url_1,titulo_cb_1,loja_1,descricao_2,ean_2,titulo_2,url_2,titulo_cb_2,loja_2,match
"Chegou mais um membro da família de Smartphones Philco! O Smartphone Philco PCS02SG. Com muito mais espaço ele tem 128GB de memória interna + cartão SD de até 128GB. Além dos 4 GB de memória RAM. É o que você precisa para guardar as fotos dos melhores momentos e rodar os aplicativos que você mais gosta. Por falar em fotos, com duas câmeras traseiras de 12MP cada e frontal de 8 MP você registra seus melhores momentos com qualidade em um click. O sistema operacional Android 10 oferece várias funcionalidades, permite que você realize muitas atividades com um celular em mãos. Além de trazer funções mais modernas. Inclusive para manter todo o conteúdo dele bem seguro, o desbloqueio acontece por reconhecimento facial ou digital. Com bateria de 4000mAh que possibilita muito mais horas de diversão com alta qualidade e perfomance que atrelado ao Processador Octa Core A55 e a tela 6” IPD HD+ vão dar muito mais ritmo as suas escolhas. O Aparelho acompanha película protetora, case de plástico e Fone de ouvido. Sim, pensamos em tudo! Pensamos em oferecer o melhor para você! Imagens meramente ilustrativas.Todas as informações divulgadas são de responsabilidade do Fabricante/Fornecedor.Verifique com os fabricantes do produto e de seus componentes eventuais limitações à utilização de todos os recursos e funcionalidades.A memória interna disponível para o usuário pode variar de acordo com o sistema operacional e aplicativos instalados no dispositivo.",7891356093920,Smartphone Philco Hit Max PCS02SG 128GB 4G Wi-Fi Tela 6'' Dual Chip 4GB RAM Câmera Dupla + Selfie 8MP - Space Grey,https://www.americanas.com.br/produto/3534332368,smartphone philco hit max pcs02sg 128gb 4g wi-fi tela 6'' dual chip 4gb ram câmera dupla + selfie 8mp - space grey,americanas,"Inteligente e preditivo O sistema operacional avançado Android 9.0 Pie aprende seus hábitos para se adaptar à sua rotina e obter a máxima eficiência de seu equipamento. Seu dispositivo terá a autonomia necessária para reduzir o consumo de energia, ajustando automaticamente o brilho e gerenciando a bateria de maneira inteligente, para que você possa priorizar o uso de seus aplicativos usuais. Maior desempenho Sua memória ram de 3 gb, lhe permitirá executar vários aplicativos ao mesmo tempo, jogar e navegar rapidamente e sem inconvenientes. Mais para ver Com sua tela grande ips de 5.5"", desfrute de cores intensas e maior clareza em todo o seu conteúdo. O espaço que você precisa Com sua memória interna de 32 gb, baixe seus aplicativos favoritos e salve todas as fotos e vídeos que você quiser! Bateria para o dia todo Sua poderosa bateria 3060 mAh se adapta ao seu ritmo de vida e garante energia por um dia inteiro com uma única carga. Efeto bokeh incrível Suas 2 câmeras traseiras de 16 Mpx/2 Mpx lhe permitirão capturar imagens com o famoso modo retrato raso. Além disso, com a câmera frontal com flash, prepare-se para compartilhar selfies mais iluminadas em suas redes sociais. Tecnologia premium Maximize a sua segurança e certifique-se de que só você possa desbloquear o seu telefone. Graças ao sensor de impressões digitais, você pode ativar seu dispositivo com apenas um toque. Além disso, possui reconhecimento facial que é ativado rapidamente quando você coloca a tela na frente do seu rosto.",7898552004705,Smartphone tcl L10 5124J 32GB 3GB ram Tela 5.5 Preto,https://www.americanas.com.br/produto/4482779212,smartphone tcl l10 5124j 32gb 3gb ram tela 5.5 preto,americanas,0
"Sobre este item    【Uma câmera principal mais poderosa】 Câmera tripla AI de 50MP com lente ultra grande angular de 119 ° e estabilização óptica de imagem (OIS) - a fotografia de nível principal ficou mais fácil - e mais acessível do que nunca.    【Bateria grande e carregamento rápido】Um dia de energia em 15 minutos; 65W Warp Charge leva a bateria de 4500 mAh do Nord 2 de 1-100% em apenas 30 minutos.    【Mais rápido e suave】 O MediaTek Dimensity 1200-AI oferece fotos e vídeos mais claros e jogos mais rápidos.    【Tela Fluid AMOLED】 Tela Fluid AMOLED de 6,43"" com recursos visuais FHD+ e taxa de atualização de 90Hz. Além da tela Smart Ambient que usa IA e tecnologia de detecção de luz para reduzir o brilho da tela.    【OxygenOS】Um OxygenOS 11.3 rápido e suave com personalização aprimorada, um aplicativo de jogos e Always On Display otimizado com base no Android 11.",5065010637276,"Celular, OnePlus Nord 2 5G Smartphone, 6.43'' Fluid AMOLED Display, 50MP Câmera Principal e 8MP Ultra Wide Camera, 4500mAH, 65W Pro Carregamento Rápido, versão europeia (12GB+256GB, cinza)",https://www.amazon.com.br/Nord-Smartphone-Principal-Carregamento-europeia/dp/B09W1JS11K/ref=sr_1_365?qid=1651784057&s=wireless&sr=1-365&ufe=app_do%3Aamzn1.fos.95de73c3-5dda-43a7-bd1f-63af03b14751,"celular, oneplus nord 2 5g smartphone, 6.43'' fluid amoled display, 50mp câmera principal e 8mp ultra wide camera, 4500mah, 65w pro carregamento rápido, versão europeia (12gb+256gb, cinza)",amazon,,8906129030619,Xiaomi Redmi Note 10 Pro Max 128gb / 8gb Ram -108MP - Vintage Bronze - Global,https://www.amazon.com.br/Xiaomi-Redmi-Note-128gb-108MP/dp/B089MT35TQ/ref=sr_1_359?qid=1651784056&s=wireless&sr=1-359&ufe=app_do%3Aamzn1.fos.95de73c3-5dda-43a7-bd1f-63af03b14751,xiaomi redmi note 10 pro max 128gb / 8gb ram -108mp - vintage bronze - global,amazon,0
"Fotografia profissional no seu bolso Descubra infinitas possibilidades para suas fotos com as 3 câmeras principais de sua equipe. Teste sua criatividade e jogue com iluminação, diferentes planos e efeitos para obter ótimos resultados. Além disso, o dispositivo possui uma câmera frontal de 5 Mpx para que você possa tirar selfies divertidas ou fazer videochamadas. Melhor desempenho Sua memória ram de 4 gb permite que seu smartphone funcione sem problemas e sem demora ao executar várias tarefas, jogar jogos ou navegar. Desbloqueio rápido com sua impressão digital Com o sensor de impressão digital, o acesso é seguro e você poderá desbloqueá-lo automaticamente com um toque. Vida útil da bateria mais longa Desconecte-se! Com a super bateria de 5000 mAh você terá energia por muito mais tempo para jogar, assistir séries ou trabalhar sem recarregar.",6941399050617,Realme C21Y RMX3261 Dual 64 gb - Preto,https://www.americanas.com.br/produto/4472405410,realme c21y rmx3261 dual 64 gb - preto,americanas,Sobre este item    Processador 2x 2.05 GHz Cortex A76 + 6x 2.0 GHz Cortex A55    RAM 6 GB Memória 128GB    Câmera 64 Mp + 8 Mp + 2 Mp + 2 Mp    Câmera Frontal 20 Mp F 2    Resolução da gravação 4K (2160p) 30 fps Slow Motion 960 FPS,6941059633723,Celular Xiaomi Redmi Note 8 Pro Versão Global 128gb / 6gb Ram/Tela 6.53'' - AZUL,https://www.amazon.com.br/Celular-Xiaomi-Redmi-Note-Pro/dp/B07YJQFYRZ/ref=sr_1_715?qid=1651784077&s=wireless&sr=1-715&ufe=app_do%3Aamzn1.fos.95de73c3-5dda-43a7-bd1f-63af03b14751,celular xiaomi redmi note 8 pro versão global 128gb / 6gb ram/tela 6.53'' - azul,amazon,0
,0194252692196,Apple iPhone 13 Mini 512GB iOS 5G Wi-Fi Tela 5.4'' Câmera Dupla 12MP - Meia-noite,https://www.americanas.com.br/produto/3919536388,apple iphone 13 mini 512gb ios 5g wi-fi tela 5.4'' câmera dupla 12mp - meia-noite,americanas,"Sobre este item    12 horas de bateria em 12 minutos.    Tela Max Vision de 6,8″ FHD+ e 120 Hz    Desempenho ultraeficiente + 6 GB RAM    Quad Câmera com sensor de 64 MP    128 GB de armazenamento interno",7892597350964,Smartphone Motorola Moto G60s 128GB 6GB RAM Verde,https://www.amazon.com.br/Smartphone-Motorola-Moto-128GB-Verde/dp/B09FRD4CYW/ref=sr_1_630?qid=1651784072&s=wireless&sr=1-630,smartphone motorola moto g60s 128gb 6gb ram verde,amazon,0
Todas as informações divulgadas são de responsabilidade do fabricante/fornecedor.Verifique com os fabricantes do produto e de seus componentes eventuais limitações à utilização de todos os recursos e funcionalidades.Imagens Meramente Ilustrativas.,7892509112864,Smartphone Samsung Galaxy A51 128GB 4G Wi-Fi Tela 6.5'' Dual Chip 4GB RAM Câmera Quádrupla + Selfie 32MP - Branco,https://www.americanas.com.br/produto/1442622659,smartphone samsung galaxy a51 128gb 4g wi-fi tela 6.5'' dual chip 4gb ram câmera quádrupla + selfie 32mp - branco,americanas,Sobre este item    Bateria: 8000 mAh    Memória: 6G (RAM) + 128G (ROM)    Câmera: 8M frontal / 16M posterior + 2.0M + 0.2M câmera    Nano + Nano / Nano + slot para cartão TF    MediaTek: MediaTek Helio P60,4394085359839,"WP9 Rugged 4G LTE smartphone NFC 6G + 128G 5,86""HD + 8000mAh Android10 telefone celular 16M / 8M câmera octa-core smartphone (laranja)",https://www.amazon.com.br/smartphone-8000mAh-Android10-telefone-octa-core/dp/B09MP685LF/ref=sr_1_576?qid=1651784068&s=wireless&sr=1-576&ufe=app_do%3Aamzn1.fos.95de73c3-5dda-43a7-bd1f-63af03b14751,"wp9 rugged 4g lte smartphone nfc 6g + 128g 5,86""hd + 8000mah android10 telefone celular 16m / 8m câmera octa-core smartphone (laranja)",amazon,0
"Conjunto de 4 câmeras de 48MP com ia O Redmi 9T traz tudo aquilo que você precisa ter na palma da mão. Um conjunto de 4 câmeras com lentes que se completam e capturam fotos incríveis em qualquer ambiente, mais bateria para muitas horas de uso intenso, mais potência sonora e a clássica elegância dos smartphones da linha Redmi, que você já conhece. Resolução e nitidez, essas são as principais vantagens de se ter uma câmera principal com ia e sensor de 48MP. Somada a lente ultra-wilde de 8MP com campo de visão de 120°, você fotografa cenários inteiros com uma qualidade incrível até mesmo a longas distâncias. A lente macro de 2MP registra aquelas fotos mais intimistas, olhares artísticos que nos surpreendem com detalhes nítidos e belezas ampliadas a curta distância. A câmera frontal é ideal para selfies perfeitas, com 8MP e um sensor de profundidade de 2MP você faz retratos perfeitos com desfoque de fundo e nitidez em seu rosto. O Redmi 9T é uma verdadeira potência quando o assunto é bateria. São 6000mAh para você permanecer conectado o tempo todo, realizar chamadas de vídeos, horas e horas de jogos e as ligações para os amigos e familiares que estão distantes sem se preocupar com o nível de bateria restante. Com carregamento rápido de 18W e uma entrada USB tipo c, você garante o máximo de eficiência do smartphone, além de economizar tempo. O desing 3D fino traz a tecnoligia Corning Gorilla Glass 3 na parte frontal, protegendo a tela contra riscos em caso de quedas. Para desbloquear o seu Redmi 9T com mais conforto, inserimos o sensor de impressão digital na lateral, basta um toque rápido para acessar tudo o que você quiser. Você vai desfrutar de uma tela fhd + lcd de 6.53 com display Dot Drop de altíssima resolução. Ganhe mais aproveitamento de tela para curtir seus conteúdos favoritos com muita qualidade. Visualize tudo com níveis de contraste e brilho equilibrados, além da proteção TÜV Rheinland que ameniza a quantidade de luz azul, preservando a saúde dos seus olhos. Pensamos muito além da imagem para oferecer uma experiência completa. Através dos falantes duplos, você ganha mais potência e equilibro sonoro durante as chamadas de áudio e vídeo ou para ouvir podcasts e suas playlists favoritas. Se preferir ouvir com mais privacidade, basta conectar seu fone via Bluetooth 5.0 ou através da entrada P2. O desempenho do Redmi 9T fica por conta do processador Snapdragon662, cpu octa-core de até 2.0 GHz e tecnologia de processamento de 11nm para uma performance totalmente fluida e otimizada. Atualizado com os sistemas miui 12 + Android q, seu Redmi 9T possui funções extras realmente úteis no dia a dia. Compatível com suporte para carregamento reverso, você pode conectar e carregar um outro smartphone via cabo USB tipo C nas duas pontas ou então transformar seu smartphone em um controle universal, através do sensor infravermelho. O Redm 9T oferece suporte para Dual sim e um slot para cartão Micro sd, assim você alterna entre chips de operadoras diferentes e aumenta a capacidade de armazenamento das suas mídias.",7908426300427,"Smartphone xiaomi redmi 9T tela 6,53 4GB/128GB 4G",https://www.americanas.com.br/produto/4147446832,"smartphone xiaomi redmi 9t tela 6,53 4gb/128gb 4g",americanas,,7892509096058,Samsung Galaxy J2 Pro Sm-j250m/ds 16gb 4g Preto,https://www.amazon.com.br/Samsung-Galaxy-J2-Sm-j250m-Preto/dp/B07LBZWZF6/ref=sr_1_1728?qid=1651784137&s=wireless&sr=1-1728,samsung galaxy j2 pro sm-j250m/ds 16gb 4g preto,amazon,0
Sobre este item    Celular Samsung Galaxy A-32 128GB Dual - SM-A325MZWRZTO,7892509117746,Smartphone Samsung Galaxy A32 128GB 6.4 Octa Core Branco,https://www.amazon.com.br/Smartphone-Samsung-Galaxy-128GB-Branco/dp/B0937LRK65/ref=sr_1_810?qid=1651784084&s=wireless&sr=1-810,smartphone samsung galaxy a32 128gb 6.4 octa core branco,amazon,"iPhone 12. Tela Super Retina XDR brilhante de 6,1 polegadas. Ceramic Shield, que é quatro vezes mais resistente a quedas. Fotos surpreendentes em pouca luz com o modo Noite em todas as câmeras. Reprodução, edição e gravação de vídeos em Dolby Vision com qualidade de cinema. Poderoso chip A14 Bionic. Compatibilidade com 5G. E novos acessórios MagSafe com encaixe fácil e recarga sem fio mais rápida. A diversão vai começar.Avisos legais: A tela tem bordas arredondadas. Quando medida como um retângulo, a tela tem 6,06 polegadas na diagonal. A área real de visualização é menor. Informação baseada na comparação entre a parte da frente do iPhone 12 (em Ceramic Shield) e a do iPhone da geração anterior. É preciso ter um plano de dados. 5G só está disponível em alguns países e por meio de determinadas operadoras. As velocidades variam de acordo com as condições e operadoras locais. Para obter detalhes sobre a compatibilidade com 5G, entre em contato com sua operadora e consulte apple.com/br/iphone/cellular. Os acessórios são vendidos separadamente. O iPhone 12 é resistente a respingos, água e poeira e foi testado em condições controladas em laboratório, classificado como IP68 segundo a norma IEC 60529 (profundidade máxima de seis metros por até 30 minutos). A resistência a respingos, água e poeira não é uma condição permanente e pode diminuir com o tempo. Não tente recarregar um iPhone molhado. Veja instruções de limpeza e secagem no Manual do Usuário. Danos decorrentes de contato com líquidos não estão incluídos na garantia. Como parte dos esforços da Apple para atingir seus objetivos ambientais, o iPhone 12 e o iPhone mini não veem com adaptador de energia nem EarPods. Você pode usar o adaptador de energia e os fones de ouvido da Apple que já tenha ou comprar esses acessórios separadamente. Imagens meramente ilustrativas.Todas as informações divulgadas são de responsabilidade do Fabricante/Fornecedor.Verifique com os fabricantes do produto e de seus componentes eventuais limitações à utilização de todos os recursos e funcionalidades.",0194252030356,iPhone 12 Apple 64GB iOS 5G Wi-Fi Tela 6.1'' Câmera 12MP - Azul,https://www.americanas.com.br/produto/3591024450,iphone 12 apple 64gb ios 5g wi-fi tela 6.1'' câmera 12mp - azul,americanas,0
Todas as informações divulgadas são de responsabilidade do fabricante/fornecedor.Verifique com os fabricantes do produto e de seus componentes eventuais limitações à utilização de todos os recursos e funcionalidades.Imagens Meramente Ilustrativas.,7892509119139,Smartphone Samsung Galaxy S20 Fe 256GB 4G Wi-Fi Tela 6.5'' Dual Chip 8GB RAM Câmera Tripla + Selfie 32MP - Cloud White,https://www.americanas.com.br/produto/3234386751,smartphone samsung galaxy s20 fe 256gb 4g wi-fi tela 6.5'' dual chip 8gb ram câmera tripla + selfie 32mp - cloud white,americanas,,7436397002830,"SMARTPHONE XIAOMI REDMI 9i 64GB, 4GB RAM, OCTA CORE 2.0GHZ, CÂMERA 13MP, SELFIE 5MP, TELA 6.53 Cor:Nature Green",https://www.amazon.com.br/SMARTPHONE-XIAOMI-2-0GHZ-C%C3%82MERA-SELFIE/dp/B09KMG49V2/ref=sr_1_1357?qid=1651784116&s=wireless&sr=1-1357&ufe=app_do%3Aamzn1.fos.95de73c3-5dda-43a7-bd1f-63af03b14751,"smartphone xiaomi redmi 9i 64gb, 4gb ram, octa core 2.0ghz, câmera 13mp, selfie 5mp, tela 6.53 cor:nature green",amazon,0
"Velocidade de perfuração rápida: Ranhuras de retificação precisas, alta eficiência e flexibilidade, remoção direta de cavacos e remoção suave de cavacos, bonito e delicado, eficaz, economia de trabalho e velocidade de perfuração rápida    Aplicação: Usado para aço inoxidável, aço carbono, ferro fundido, aço moldado, aço de liga, aço ferramenta, materiais de metal não ferroso    Amplas aplicações: Este é um alargador, que é amplamente utilizado para cortes leves, trabalhos de reparo, desestocagem ou apenas para aumentar furos    Tipo de haste universal: Este é um alargador com superfície brilhante, ampla utilização, tipo de haste universal e alta precisão de retificação    Conformação única integral: Este é um alargador de conformação única integral, com tamanhos estáveis, endurecimento de precisão e durabilidade",7636615064477,"Escareador de haste cônica, escareador de torno mecânico economizador de mão-de-obra para ferro fundido",https://www.amazon.com.br/Escareador-escareador-mec%C3%A2nico-economizador-fundido/dp/B09QLWL2VB/ref=sr_1_2639?qid=1651784184&s=wireless&sr=1-2639&ufe=app_do%3Aamzn1.fos.cede3968-0a01-4da7-b7fa-174ca17dae70,"escareador de haste cônica, escareador de torno mecânico economizador de mão-de-obra para ferro fundido",amazon,,6941399045637,Smartphone Realme C11 32GB 4G Wi-Fi Tela 6.5'' Cinza,https://www.amazon.com.br/Smartphone-Realme-32GB-Wi-Fi-Cinza/dp/B09C71G1L9/ref=sr_1_1528?qid=1651784126&s=wireless&sr=1-1528&ufe=app_do%3Aamzn1.fos.95de73c3-5dda-43a7-bd1f-63af03b14751,smartphone realme c11 32gb 4g wi-fi tela 6.5'' cinza,amazon,0
"Sobre este item    Processador 4x 1.95 GHz Cortex-A53 + 4x 1.45 GHz Cortex-A53    Memoria RAM 2GB    Polegadas 6.22 Resolução 720 x 1520 pixel, Tipo IPS LCD    CÂMERA Megapixel 12 Mp, Resolução 4000 x 3000 pixel",6941059648451,"Celular Xiaomi Redmi 9A Versão Global 32gb / 2gb Ram/Tela 6.53"" - Preto",https://www.amazon.com.br/Celular-Xiaomi-Redmi-Vers%C3%A3o-Global/dp/B08CH6VKHW/ref=sr_1_1501?qid=1651784125&s=wireless&sr=1-1501&ufe=app_do%3Aamzn1.fos.95de73c3-5dda-43a7-bd1f-63af03b14751,"celular xiaomi redmi 9a versão global 32gb / 2gb ram/tela 6.53"" - preto",amazon,"O Smartphone Samsung Galaxy A33 foi desenvolvido com tecnologia de ponta e design elegante! Com tela de 6.4"" possui resolução de 1080 x 2400 (FHD+), é ideal para quem adora assistir vídeos e aproveitar ao máximo as cores. E o melhor, possui resistência à água e poeira IP67. Para os apaixonados por fotografia, o Galaxy A33 conta com câmera traseira quádrupla com estabilização óptica (48MP), a opção perfeita para fotos mais nítidas e com mais detalhes. A câmera frontal também é incrível e possui 13MP, faça vídeos e fotos com ótima qualidade. Outro detalhe que chama a atenção é o processador 5G de última geração para que você faça as suas atividades do dia a dia com muito mais agilidade e com alta tecnologia. Já a bateria é de Íons de Lítio de 5000mAh com duração de até 2 dias. Você merece contar com um item moderno na sua palma da mão, e o Smartphone Samsung Galaxy A33 é a melhor opção. Imagens meramente ilustrativas.Todas as informações divulgadas são de responsabilidade do Fabricante/Fornecedor.Verifique com os fabricantes do produto e de seus componentes eventuais limitações à utilização de todos os recursos e funcionalidades.A memória interna disponível para o usuário pode variar de acordo com o sistema operacional e aplicativos instalados no dispositivo.",7892509121828,Smartphone Samsung Galaxy A33 128GB 5G Wi-Fi Tela 6.4'' Dual Chip 6GB RAM Câmera Quádrupla + Selfie 13MP - Azul,https://www.americanas.com.br/produto/4808148809,smartphone samsung galaxy a33 128gb 5g wi-fi tela 6.4'' dual chip 6gb ram câmera quádrupla + selfie 13mp - azul,americanas,0
